seqnames	start	end	width	gene	Reads	Background	Reads_per_Mb	Library
chr15	98316311	98340743	24433	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr17	42024067	42028573	4507	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr1	101656666	101732818	76153	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr3	67546015	67571470	25456	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr3	187938580	187995682	57103	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr4	169670251	169698003	27753	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr5	105008187	105030755	22569	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr7	70335028	70443619	108592	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr7	108924569	108977158	52590	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr8	75815596	75844435	28840	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr9	67413111	67550153	137043	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr10	2759550	2763737	4188	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr11	83063255	83131348	68094	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr11	127548171	127555492	7322	BLM/RECQL5	712524	2.3%	66	blm_recq5-2-single-c16-w36_
chr3	101065275	101132917	67643	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr3	160459310	160579988	120679	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr7	86164235	86310804	146570	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr9	130782945	130857580	74636	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr16	30757398	31053064	295667	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr19	3631096	3675240	44145	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr21	15750532	15951089	200558	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr22	23273912	23300674	26763	BLM/RECQL5	427056	2.6%	42	blm_recq5-2-single-c16-w38_
chr1	45125209	45156842	31634	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr1	89005216	89050276	45061	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr2	3214561	3238545	23985	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr4	4976295	4980784	4490	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr4	77308928	77768032	459105	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr6	91597992	91623617	25626	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr8	143064630	143100194	35565	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr11	44942061	44952691	10631	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr21	14583879	14589943	6065	BLM/RECQL5	642770	1.9%	64	blm_recq5-2-single-c16-w40_
chr1	72844583	72915463	70881	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr2	86020608	86046084	25477	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr2	167117772	167177122	59351	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr5	173786059	173809923	23865	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr6	36148859	36168002	19144	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr6	128577557	128583931	6375	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr9	69235291	69246989	11699	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr9	130804311	130825401	21091	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr10	30341056	30360486	19431	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr16	67885585	67915538	29954	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr17	60262991	60264595	1605	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr21	14124168	14136590	12423	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr22	23296661	23357746	61086	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chrX	80108592	80113235	4644	BLM/RECQL5	614146	2.4%	61	blm_recq5-2-single-c16-w42_
chr2	167477473	167523415	45943	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr3	134329979	134330302	324	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr4	52357103	52406892	49790	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr4	180858554	180925623	67070	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr5	108160251	108225620	65370	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr7	140079803	140109050	29248	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr9	130780071	130957979	177909	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr14	46539207	46615400	76194	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr22	23289828	23379426	89599	BLM/RECQL5	299242	3.7%	30	blm_recq5-2-single-c16-w45_
chr1	108928248	109004710	76463	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr2	167458595	167521710	63116	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr3	190230946	190310180	79235	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr4	76023422	76161526	138105	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr4	84387299	84480817	93519	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr6	144036713	144050356	13644	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr7	70020230	70188519	168290	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr7	129738431	129750173	11743	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr8	39296243	39484909	188667	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr8	61031473	61059532	28060	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr8	101271709	101374263	102555	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr9	130800213	130869500	69288	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr12	109026249	109110062	83814	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr12	116267218	116364366	97149	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr14	30759841	30772731	12891	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr15	56276086	56494115	218030	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr17	43220080	43315595	95516	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr20	6898847	7059177	160331	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr22	24282325	24291333	9009	BLM/RECQL5	199352	2.5%	21	blm_recq5-2-single-c16-w5_
chr1	118996617	119711791	715175	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr2	194836996	194853016	16021	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr5	54161473	54199831	38359	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr6	96076061	96153293	77233	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr7	70137284	70144060	6777	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr7	70930770	71197022	266253	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr9	130801345	130830662	29318	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr12	58126344	60283106	2156763	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr14	62460863	62527444	66582	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr16	53123769	53175936	52168	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr19	3617831	3733823	115993	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr22	23258327	23291696	33370	BLM/RECQL5	304524	2.9%	29	blm_recq5-2-single-c16-w6_
chr2	221930183	222044734	114552	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr8	35219792	35241186	21395	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr8	73938260	73951982	13723	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr9	130765762	130886292	120531	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr11	78360369	78386569	26201	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr12	59411325	60470286	1058962	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr14	83007025	83056635	49611	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr14	90943965	90999461	55497	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr14	103114633	103158541	43909	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr16	30996377	31001990	5614	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr19	24409090	27249382	2840293	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr22	23285526	23294456	8931	BLM/RECQL5	469760	3.0%	46	blm_recq5-2-single-c16-w7_
chr4	108740661	108801153	60493	BLM	186716	2.7%	23	blm-1-single-c10-w11_
chr5	25968170	26171264	203095	BLM	186716	2.7%	23	blm-1-single-c10-w11_
chr8	77252201	77573646	321446	BLM	186716	2.7%	23	blm-1-single-c10-w11_
chr9	130790954	130834025	43072	BLM	186716	2.7%	23	blm-1-single-c10-w11_
chr12	54033307	54147633	114327	BLM	186716	2.7%	23	blm-1-single-c10-w11_
chr22	23259671	23436650	176980	BLM	186716	2.7%	23	blm-1-single-c10-w11_
chr5	57456621	57483858	27238	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr5	162757673	162798558	40886	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr6	94812709	94870239	57531	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr7	40755061	40776037	20977	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr8	81923592	81924933	1342	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr8	136051928	136057357	5430	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr9	130801327	130825582	24256	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr11	21252904	21265606	12703	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr12	53496192	53503619	7428	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr16	78364530	78372193	7664	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr21	14147806	14156329	8524	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr22	23289324	23293730	4407	BLM	419234	1.5%	55	blm-1-single-c10-w15_
chr2	56877205	56952279	75075	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chr5	96170701	96191708	21008	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chr6	4932087	4954385	22299	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chr9	68572559	68579632	7074	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chr13	50295710	50365706	69997	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chr16	9584309	9707329	123021	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chrX	37710944	37726430	15487	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chrX	131982267	132057087	74821	BLM	479022	2.2%	60	blm-1-single-c10-w19_
chr1	96077673	96222611	144939	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr8	5563532	5565457	1926	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr8	31939867	31966946	27080	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr9	130761152	130831287	70136	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr11	125061239	125078011	16773	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr12	59639394	60412329	772936	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr18	37909536	37927581	18046	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr21	15502257	15505475	3219	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr22	23256131	23290420	34290	BLM	305168	1.7%	39	blm-1-single-c10-w30_
chr3	47336193	47380824	44632	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr3	180368299	180395614	27316	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr6	105012572	105038431	25860	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr8	6679285	7120451	441167	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr8	7861474	8324566	463093	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr9	134430918	134469007	38090	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr12	30633082	30652643	19562	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr14	39075073	39114624	39552	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr15	40957607	40983401	25795	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr19	14359096	14397611	38516	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr21	14036422	14942326	905905	BLM	655180	1.2%	82	blm-1-single-c10-w31_
chr6	50064401	50068597	4197	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr7	23157240	23224946	67707	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr9	19865672	19872007	6336	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr9	19991354	20005515	14162	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr9	20188977	20208903	19927	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr13	40970301	40974005	3705	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr14	82537859	82589953	52095	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr17	34242738	34319706	76969	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr20	25388620	25538588	149969	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr21	14707136	14718598	11463	BLM	404672	2.0%	46	blm-1-single-c10-w33_
chr1	9748143	9766200	18058	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr1	28537082	28544457	7376	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr1	66456036	66560853	104818	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr1	167373292	167396284	22993	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr3	15503568	15525467	21900	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr4	58807534	58941105	133572	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr4	160702636	160818473	115838	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr5	95097587	95148949	51363	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr7	128705173	128718233	13061	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr8	2653593	2660606	7014	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr8	57646497	57650084	3588	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr8	61819932	61854095	34164	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr9	35666783	35709131	42349	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr11	134047673	134065712	18040	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chrX	109284539	109302239	17701	BLM	511736	2.3%	66	blm-1-single-c10-w34_
chr2	113780429	113836852	56424	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr3	142295008	142358189	63182	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr3	183165824	183170570	4747	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr8	72103240	72182764	79525	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr12	60291043	60419164	128122	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr13	45039917	45061959	22043	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr20	4659942	4680952	21011	BLM	256378	2.1%	34	blm-1-single-c10-w37_
chr1	105057678	105111445	53768	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr8	75270724	76147487	876764	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr8	77553275	79441151	1887877	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr9	121941531	121956248	14718	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr9	130801216	130827527	26312	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr11	102219914	104223503	2003590	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr16	69002676	69031325	28650	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr17	30360523	30409684	49162	BLM	265880	1.9%	34	blm-1-single-c10-w38_
chr1	74256277	74287554	31278	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr1	110514302	110547447	33146	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr1	193749117	193786894	37778	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr3	84377262	84436279	59018	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr5	63970623	63997268	26646	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr6	64199062	64216101	17040	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr8	72121487	72153864	32378	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr8	102827440	102847100	19661	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr9	67399248	68397530	998283	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr10	67016014	67046962	30949	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr11	14318328	14360774	42447	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr11	75329487	75330324	838	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr14	91605342	91649642	44301	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr14	101922145	101934824	12680	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr21	18617039	18673076	56038	BLM	565090	1.7%	76	blm-1-single-c10-w41_
chr1	173648557	173685839	37283	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr2	35383082	35414164	31083	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr3	77216127	77292953	76827	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr3	98946908	98958406	11499	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr4	73375550	73424101	48552	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr5	21063294	21163617	100324	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr8	77405949	77407469	1521	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr9	68967939	69439804	471866	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr13	110926996	110957630	30635	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr21	14939873	15105237	165365	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chrX	25779783	26225494	445712	BLM	324966	3.3%	47	blm-1-single-c9-w15_
chr2	29133246	29249766	116521	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chr8	43042341	43047585	5245	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chr9	130751427	130831313	79887	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chr10	100251570	100309916	58347	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chr11	107466974	107467417	444	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chr18	6269419	6292837	23419	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chrX	7090842	7095242	4401	BLM	213526	2.0%	29	blm-1-single-c9-w31_
chr2	108132858	108152116	19259	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr3	59007959	60516452	1508494	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr5	126448466	126478287	29822	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr8	77213838	77234059	20222	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr11	24783161	24844593	61433	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr11	107518485	107521467	2983	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr13	68508418	68563103	54686	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr13	83629401	83705115	75715	BLM	304652	2.2%	45	blm-1-single-c9-w33_
chr1	17639244	17660436	21193	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr1	35365736	35389687	23952	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr2	170950949	170955335	4387	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr3	25618832	25640527	21696	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr4	116111189	116197013	85825	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr5	175732084	175797147	65064	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr5	176208609	176396080	187472	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr7	69653832	69668321	14490	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr8	139380003	139428805	48803	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr9	126304906	126331694	26789	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr11	124872434	125082733	210300	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr14	25739788	25766388	26601	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr14	55333913	55389325	55413	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr18	42741969	42807298	65330	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr20	24969591	25141677	172087	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chrX	96318985	96406183	87199	BLM	438490	3.5%	64	blm-1-single-c9-w40_
chr1	51580594	51603518	22925	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr3	61194768	61213586	18819	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr3	121774757	121787074	12318	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr8	43821507	43823656	2150	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr8	139589807	139593868	4062	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr9	130789276	130817022	27747	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr19	44571684	44592598	20915	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr20	22044930	22111171	66242	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr21	14048886	14099933	51048	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr22	23279862	23293163	13302	BLM	396020	1.4%	57	blm-1-single-c9-w42_
chr1	79778848	79830798	51951	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr2	61360710	61400333	39624	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr3	12224393	12231335	6943	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr3	54443761	54493582	49822	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr3	112507459	112602739	95281	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr7	111485370	111550492	65123	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr7	143508550	143884297	375748	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr8	30634637	30653060	18424	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr8	71968834	72070503	101670	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr9	130787323	130816544	29222	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr11	75295046	75325943	30898	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr12	84920769	84959796	39028	BLM	220974	2.3%	33	blm-1-single-c9-w44_
chr8	82896019	82917838	21820	RECQL5	477884	4.5%	62	recq5-2-single-c11-w37_
chr8	112273613	112299249	25637	RECQL5	477884	4.5%	62	recq5-2-single-c11-w37_
chr14	88708661	88737365	28705	RECQL5	477884	4.5%	62	recq5-2-single-c11-w37_
chr14	103939431	103961376	21946	RECQL5	477884	4.5%	62	recq5-2-single-c11-w37_
chr21	14044601	14070138	25538	RECQL5	477884	4.5%	62	recq5-2-single-c11-w37_
chr2	199196558	199241819	45262	RECQL5	265842	2.9%	36	recq5-2-single-c11-w9_
chr5	143064902	143148964	84063	RECQL5	265842	2.9%	36	recq5-2-single-c11-w9_
chr7	70513045	70535202	22158	RECQL5	265842	2.9%	36	recq5-2-single-c11-w9_
chr8	53761337	53849025	87689	RECQL5	265842	2.9%	36	recq5-2-single-c11-w9_
chr16	30638373	30776095	137723	RECQL5	265842	2.9%	36	recq5-2-single-c11-w9_
chr5	56886313	56933512	47200	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr8	85637985	85915096	277112	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr9	130736701	130820273	83573	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr11	55430535	55470027	39493	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr11	118179237	118195785	16549	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr12	65806646	66186440	379795	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr21	14798987	14806152	7166	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chr22	23280171	23300900	20730	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chrX	148892554	149177140	284587	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
chrX	149803214	150319561	516348	RECQL5	382602	3.2%	51	recq5-2-single-c12-w9_
